País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
Netherlands,1983252,2000.0,18111,4.0,1893592,2478.0,71549,194,115434.0,1054.0,17043097,991979,17180897,Europe
Iraq,1972705,1959.0,21775,36.0,1857873,5082.0,93057,609,47748.0,527.0,14946506,361773,41314628,Asia
Czechia,1685878,442.0,30429,2.0,1650292,25.0,5157,31,157073.0,2835.0,37341401,3479088,10733100,Europe
Japan,1668136,5095.0,17097,67.0,1564097,12251.0,86942,1559,13239.0,136.0,23909407,189748,126006151,Asia
Chile,1646994,591.0,37339,21.0,1603507,501.0,6148,445,85269.0,1933.0,21193085,1097222,19315228,South America
Canada,1571327,2138.0,27384,14.0,1498486,1052.0,45457,638,41195.0,718.0,41973569,1100412,38143512,North America
Bangladesh,1541300,1190.0,27182,35.0,1498654,1645.0,15464,1415,9247.0,163.0,9413033,56474,166679039,Asia
Thailand,1462901,14109.0,15246,122.0,1317527,13280.0,130128,4387,20895.0,218.0,9201621,131428,70012592,Asia
Pakistan,1221261,2512.0,27135,63.0,1129562,3610.0,64564,5117,5402.0,120.0,18797433,83143,226085076,Asia
Israel,1220397,6358.0,7511,17.0,1127750,4874.0,85136,717,130860.0,805.0,20404489,2187914,9326000,Asia
Belgium,1219814,2341.0,25497,3.0,1133872,4479.0,60445,218,104698.0,2188.0,19436142,1668219,11650837,Europe
Sweden,1144982,-1.0,14734,-1.0,1101847,1026.0,28401,43,112522.0,1448.0,12423746,1220926,10175672,Europe
Romania,1144893,5388.0,35456,97.0,1078434,2935.0,31003,798,59999.0,1858.0,12223665,640595,19081746,Europe
Portugal,1061371,939.0,17902,7.0,1009517,1606.0,33952,90,104460.0,1762.0,17903866,1762088,10160595,Europe
